id,impact.gap,impact.magnitude,impact.significance,location.depth,location.distance,location.full,location.latitude,location.longitude,location.name,time.day,time.epoch,time.full,time.hour,time.minute,time.month,time.second,time.year
nc72666881,122,1.43,31,15.12,0.1034,"13km E of Livermore, California",37.6723333,-121.619,California,27,1.47E+12,7/27/2016 00:19,0,19,7,43,2016
nc72666891,249,0.06,0,4.39,0.02743,"12km SE of Mammoth Lakes, California",37.5765,-118.8591667,California,27,1.47E+12,7/27/2016 00:31,0,31,7,37,2016
nc72666896,122,0.4,2,1.09,0.02699,"6km SSW of Mammoth Lakes, California",37.5958333,-118.9948333,California,27,1.47E+12,7/27/2016 00:35,0,35,7,44,2016
ci37640584,149,1.2,22,0.18,0.1688,"12km SE of Bodfish, CA",35.503,-118.4058333,California,27,1.47E+12,7/27/2016 01:03,1,3,7,0,2016
nc72666901,87,1.67,43,12.91,0.106,"13km E of Livermore, California",37.673,-121.6133333,California,27,1.47E+12,7/27/2016 01:04,1,4,7,32,2016
ci37640592,75,0.48,4,13.85,0.04401,"14km WNW of Anza, CA",33.5888333,-116.8165,California,27,1.47E+12,7/27/2016 01:09,1,9,7,51,2016
nc71104689,190,0.51,4,4.3,0.0986,"14km S of Ridgemark, California",36.6811667,-121.3368333,California,27,1.47E+12,7/27/2016 01:17,1,17,7,18,2016
nc71104624,315,0.53,4,2.77,0.05199,"27km NE of Hollister, California",37.0286667,-121.19,California,27,1.47E+12,7/27/2016 01:17,1,17,7,29,2016
ci37640600,92,0.73,8,1.5,0.08636,"24km E of Coso Junction, CA",36.0758333,-117.6788333,California,27,1.47E+12,7/27/2016 01:42,1,42,7,44,2016
nc71104629,163,0.22,1,1.8,0.0528,"26km NE of Hollister, California",37.0263333,-121.1936667,California,27,1.47E+12,7/27/2016 01:44,1,44,7,49,2016
nc72666906,64,1.22,23,1.41,0.006449,"2km E of The Geysers, California",38.7763333,-122.7245,California,27,1.47E+12,7/27/2016 01:45,1,45,7,59,2016
nc72666911,54,0.55,5,2.41,0.005954,"9km WNW of Cobb, California",38.8415,-122.8288333,California,27,1.47E+12,7/27/2016 01:48,1,48,7,58,2016
ci37640608,98,0.81,10,2.04,0.138,"17km NE of Coachella, CA",33.7878333,-116.037,California,27,1.47E+12,7/27/2016 01:58,1,58,7,26,2016
ci37640616,64,0.75,9,3.18,0.04043,"20km E of Little Lake, CA",35.9231667,-117.6898333,California,27,1.47E+12,7/27/2016 02:20,2,20,7,53,2016
nc72666931,55,1.4,30,2.05,0.01002,"7km WNW of Cobb, California",38.8348333,-122.8023333,California,27,1.47E+12,7/27/2016 02:22,2,22,7,7,2016
ci37640624,56,1.13,20,2.7,0.04073,"7km NE of Little Lake, CA",35.978,-117.8535,California,27,1.47E+12,7/27/2016 02:38,2,38,7,29,2016
nc72666946,78,0.47,3,4.91,0.0235,"2km ESE of Mammoth Lakes, California",37.6363333,-118.9426667,California,27,1.47E+12,7/27/2016 02:42,2,42,7,50,2016
ci37640640,126,0.28,1,3.93,0.04043,"6km NE of Little Lake, CA",35.9758333,-117.8596667,California,27,1.47E+12,7/27/2016 03:02,3,2,7,18,2016
nc72666956,53,1.75,47,1.56,0.0119,"0km E of The Geysers, California",38.7781667,-122.7505,California,27,1.47E+12,7/27/2016 03:56,3,56,7,19,2016
nc72666961,74,0.62,6,2.25,0.005599,"3km S of Cobb, California",38.7885,-122.7218333,California,27,1.47E+12,7/27/2016 04:00,4,0,7,49,2016
nc72666966,137,0.8,10,1.54,0.07576,"19km SE of Mammoth Lakes, California",37.5141667,-118.8263333,California,27,1.47E+12,7/27/2016 04:06,4,6,7,43,2016
ci37640656,79,0.06,0,1.41,0.03807,"12km NE of Little Lake, CA",36.0171667,-117.8111667,California,27,1.47E+12,7/27/2016 04:44,4,44,7,0,2016
ci37640648,78,0.75,9,11.04,0.04434,"15km ESE of Anza, CA",33.5145,-116.5175,California,27,1.47E+12,7/27/2016 04:45,4,45,7,58,2016
ci37640664,75,1.6,39,10.02,0.02385,"7km NNE of Imperial, CA",32.905,-115.5326667,California,27,1.47E+12,7/27/2016 04:48,4,48,7,43,2016
nc72666971,62,1.84,52,4.84,0.06195,"12km S of Ridgemark, California",36.7,-121.3381667,California,27,1.47E+12,7/27/2016 06:02,6,2,7,53,2016
nc72666976,194,1.75,47,8.4,0.1164,"6km SW of Huron, California",36.1681667,-120.1663333,California,27,1.47E+12,7/27/2016 06:12,6,12,7,53,2016
ci37640696,91,0.59,5,10.44,0.0874,"10km NNE of Trabuco Canyon, CA",33.7398333,-117.5278333,California,27,1.47E+12,7/27/2016 06:23,6,23,7,43,2016
ci37640704,86,0.84,11,8.03,0.1368,"24km ESE of Julian, CA",33.0166667,-116.3543333,California,27,1.47E+12,7/27/2016 06:29,6,29,7,6,2016
nc72666986,101,0.71,8,2.11,0.008326,"6km NW of The Geysers, California",38.8160019,-122.8150024,California,27,1.47E+12,7/27/2016 06:45,6,45,7,37,2016
nc72666991,94,1.02,16,2.32,0.009271,"6km NW of The Geysers, California",38.8123322,-122.8181686,California,27,1.47E+12,7/27/2016 07:39,7,39,7,49,2016
ci37640736,85,1.02,16,12.58,0.1562,"27km SSW of Ocotillo Wells, CA",32.9211667,-116.2398333,California,27,1.47E+12,7/27/2016 08:05,8,5,7,33,2016
ci37640744,70,1.34,28,12.5,0.03139,"13km N of Cabazon, CA",34.0308333,-116.7703333,California,27,1.47E+12,7/27/2016 08:16,8,16,7,46,2016
ci37640752,78,1.03,16,3.34,0.0749,"25km WNW of Desert Center, CA",33.7811667,-115.6553333,California,27,1.47E+12,7/27/2016 08:28,8,28,7,52,2016
nc72667001,59,1.22,23,8.37,0.03158,"6km NE of East Foothills, California",37.4285,-121.7716667,California,27,1.47E+12,7/27/2016 08:34,8,34,7,35,2016
