FIPS,StartDate,EndDate,ConsecutiveWeeks,State,County
08001,2012-03-29,2013-09-19,77,CO,Adams County
08001,2015-04-09,2015-04-16,2,CO,Adams County
08001,2015-09-24,2015-10-22,5,CO,Adams County
08001,2016-08-11,2017-05-18,40,CO,Adams County
08001,2017-07-27,2017-08-10,3,CO,Adams County
08001,2017-09-14,2017-09-28,3,CO,Adams County
08001,2017-12-14,2018-05-24,24,CO,Adams County
08001,2018-07-12,2019-03-14,35,CO,Adams County
08001,2019-09-05,2019-11-21,12,CO,Adams County
08001,2020-01-23,2020-05-14,17,CO,Adams County
08001,2020-06-11,2021-05-13,49,CO,Adams County
08001,2021-09-09,2021-12-30,16,CO,Adams County
08003,2011-12-29,2015-07-09,180,CO,Alamosa County
08003,2013-07-03,2014-12-31,5,CO,Alamosa County
08003,2016-10-20,2017-02-16,17,CO,Alamosa County
08003,2017-12-14,2019-05-09,73,CO,Alamosa County
08003,2019-09-26,2021-05-27,87,CO,Alamosa County
08003,2021-09-23,2021-12-30,14,CO,Alamosa County
08005,2012-03-29,2013-09-19,77,CO,Arapahoe County
08005,2014-01-30,2014-04-10,11,CO,Arapahoe County
08005,2015-09-24,2015-10-22,5,CO,Arapahoe County
08005,2016-08-11,2017-05-18,40,CO,Arapahoe County
08005,2017-07-27,2017-08-10,3,CO,Arapahoe County
08005,2017-09-14,2017-09-28,3,CO,Arapahoe County
08005,2017-12-14,2019-03-14,65,CO,Arapahoe County
08005,2019-09-05,2019-11-21,12,CO,Arapahoe County
08005,2020-01-23,2021-05-27,71,CO,Arapahoe County
08005,2021-09-09,2021-12-30,16,CO,Arapahoe County
08007,2012-01-26,2015-12-24,199,CO,Archuleta County
08007,2013-07-03,2015-11-25,6,CO,Archuleta County
08007,2016-03-24,2016-12-22,39,CO,Archuleta County
08007,2017-10-19,2019-05-16,81,CO,Archuleta County
08007,2017-11-22,2018-11-21,2,CO,Archuleta County
08007,2019-07-25,2021-12-30,126,CO,Archuleta County
08007,2019-11-27,2021-11-24,2,CO,Archuleta County
08009,2011-12-29,2015-06-11,176,CO,Baca County
08009,2013-07-03,2014-12-31,5,CO,Baca County
08009,2016-03-03,2016-05-05,10,CO,Baca County
08009,2016-10-20,2017-04-27,27,CO,Baca County
08009,2017-11-22,2018-11-21,2,CO,Baca County
08009,2017-11-30,2019-03-14,67,CO,Baca County
08009,2019-08-08,2021-06-03,95,CO,Baca County
08009,2021-08-19,2021-12-30,19,CO,Baca County
08011,2011-12-29,2015-06-11,176,CO,Bent County
08011,2013-07-03,2014-12-31,5,CO,Bent County
08011,2015-09-24,2016-05-05,32,CO,Bent County
08011,2016-10-20,2017-05-04,28,CO,Bent County
08011,2017-12-14,2019-03-21,66,CO,Bent County
08011,2019-09-12,2021-05-27,89,CO,Bent County
08011,2021-09-16,2021-12-30,15,CO,Bent County
08013,2012-01-26,2012-02-02,2,CO,Boulder County
08013,2012-03-29,2013-09-12,76,CO,Boulder County
08013,2015-09-24,2015-11-19,9,CO,Boulder County
08013,2016-06-23,2017-05-18,47,CO,Boulder County
08013,2017-07-27,2017-08-10,3,CO,Boulder County
08013,2017-09-14,2017-09-21,2,CO,Boulder County
08013,2017-12-14,2018-05-10,22,CO,Boulder County
08013,2018-06-14,2019-03-14,39,CO,Boulder County
08013,2019-09-05,2019-11-07,10,CO,Boulder County
08013,2020-07-16,2021-07-29,55,CO,Boulder County
08013,2021-09-09,2021-12-30,16,CO,Boulder County
08014,2012-03-29,2013-09-12,76,CO,Broomfield County
08014,2015-09-24,2015-10-22,5,CO,Broomfield County
08014,2016-08-11,2017-05-18,40,CO,Broomfield County
08014,2017-07-27,2017-08-10,3,CO,Broomfield County
08014,2017-09-14,2017-09-21,2,CO,Broomfield County
08014,2017-12-14,2018-05-24,24,CO,Broomfield County
08014,2018-07-12,2019-03-14,35,CO,Broomfield County
08014,2019-09-05,2019-10-24,8,CO,Broomfield County
08014,2020-07-02,2021-04-29,44,CO,Broomfield County
08014,2021-09-09,2021-12-30,16,CO,Broomfield County
08015,2011-12-29,2014-05-29,125,CO,Chaffee County
08015,2013-07-03,2013-11-27,2,CO,Chaffee County
08015,2015-10-22,2016-02-04,15,CO,Chaffee County
08015,2016-11-03,2017-07-27,38,CO,Chaffee County
08015,2017-09-07,2017-09-28,4,CO,Chaffee County
08015,2017-12-14,2019-05-09,73,CO,Chaffee County
08015,2019-08-29,2021-12-30,121,CO,Chaffee County
08015,2019-11-27,2021-11-24,2,CO,Chaffee County
08017,2011-12-29,2015-05-21,173,CO,Cheyenne County
08017,2013-07-03,2014-12-31,5,CO,Cheyenne County
08017,2015-09-24,2015-10-29,6,CO,Cheyenne County
08017,2016-03-17,2016-04-28,7,CO,Cheyenne County
08017,2016-09-15,2017-04-27,32,CO,Cheyenne County
08017,2017-12-14,2019-03-21,66,CO,Cheyenne County
08017,2019-10-10,2021-05-27,85,CO,Cheyenne County
